GISJOIN,Per_Les_20,Per_Les_10,Per_Les_15
G26016305124003,31.03448276,3.448275862,3.448275862
G26016305126001,13.81578947,0,13.81578947
G26016305126002,40.90909091,10.60606061,19.6969697
G26016305126003,53.52112676,0,46.47887324
G26016305126004,7.142857143,0,7.142857143
G26016305129001,23.45679012,17.28395062,17.28395062
G26016305129002,10.14492754,10.14492754,10.14492754
G26016305129003,0,0,0
G26016305132001,25.80645161,10.13824885,19.35483871
G26016305132002,41.96428571,34.82142857,41.96428571
G26016305132003,35.65217391,0,0
G26016305133001,32.7198364,12.67893661,19.83640082
G26016305133002,33.84615385,7.521367521,14.35897436
G26016305136001,48.64864865,21.62162162,21.62162162
G26016305136002,31.46853147,0,0
G26016305137001,20.91346154,0,3.365384615
G26016305137002,15.95092025,0,3.680981595
G26016305137003,21.79836512,13.07901907,13.07901907
G26016305139001,16.12903226,7.52688172,7.52688172
G26016305139002,14.43298969,2.06185567,5.498281787
G26016305139003,29.35779817,11.00917431,23.85321101
G26016305141001,12.90322581,0,0
G26016305141002,28.82882883,0,8.108108108
G26016305141003,27.00729927,0,0
G26016305141004,8.053691275,0,0
G26016305142001,69.92481203,7.518796992,7.518796992
G26016305142002,85.66433566,14.68531469,32.86713287
G26016305142003,22,0,0
G26016305142004,19.1011236,0,12.35955056
G26016305142005,38.38383838,0,23.73737374
G26016305143001,19.8630137,8.904109589,8.904109589
G26016305143002,63.23529412,8.088235294,16.91176471
G26016305143003,13.73390558,0,4.291845494
G26016305145001,41.12149533,33.64485981,41.12149533
G26016305145002,15.6424581,5.586592179,5.586592179
G26016305152001,38.22843823,17.01631702,22.61072261
G26016305152002,31.19266055,0,4.892966361
G26016305153001,55.87583149,16.18625277,38.58093126
G26016305153002,33.5483871,0,21.93548387
G26016305153003,53.46534653,17.16171617,33.00330033
G26016305154001,32.60273973,4.931506849,14.79452055
G26016305154002,32.79132791,1.62601626,23.84823848
G26016305156001,40.87837838,2.364864865,9.459459459
G26016305156002,13.94422311,1.593625498,5.976095618
G26016305157001,44.63487332,3.427719821,24.59016393
G26016305157002,45.02814259,2.814258912,5.440900563
G26016305159001,49.04109589,2.191780822,8.219178082
G26016305159002,0,0,0
G26016305159003,5.128205128,0,0
G26016305160001,43.57541899,5.027932961,19.83240223
G26016305160002,0,0,0
G26016305160003,28.57142857,28.57142857,28.57142857
G26016305160004,49.33333333,6.666666667,12
G26016305161001,0,0,0
G26016305161002,13.51351351,13.51351351,13.51351351
G26016305162001,34.58646617,0,12.78195489
G26016305162002,33.33333333,19.04761905,19.04761905
G26016305163001,25.95419847,0,4.580152672
G26016305164001,71.73913043,11.30434783,23.04347826
G26016305164002,69.89247312,25.80645161,33.33333333
G26016305165001,55.84862385,20.64220183,40.36697248
G26016305166001,44.26229508,24.59016393,33.33333333
G26016305166002,56.10328638,12.20657277,53.99061033
G26016305167001,56.47058824,8.403361345,24.3697479
G26016305167002,36.5248227,8.510638298,27.65957447
G26016305168001,46.32034632,19.48051948,27.70562771
G26016305168002,85.36585366,41.46341463,73.17073171
G26016305169001,32.60869565,1.992753623,20.10869565
G26016305170001,39.18007265,14.89361702,31.70731707
G26016305171001,57.44680851,22.74959083,40.09819967
G26016305172001,60.670194,27.68959436,49.20634921
G26016305172002,44.01709402,16.23931624,30.76923077
G26016305173001,50.07751938,20,36.27906977
G26016305173002,52.04918033,7.37704918,26.2295082
G26016305175001,87.25490196,30.39215686,83.82352941
G26016305175002,53.30296128,23.46241458,37.35763098
G26016305175003,42.65734266,17.48251748,30.76923077
G26016305180001,57.57997218,24.61752434,40.75104312
G26016305180002,68.10506567,30.20637899,43.15196998
G26016305184001,100,84.61538462,84.61538462
G26016305184002,72,0,10
G26016305185001,56.52173913,14.13043478,23.91304348
G26016305185002,47.69874477,10.46025105,26.35983264
G26016305186001,39.21568627,0,7.843137255
G26016305186002,60.78431373,0,19.60784314
G26016305188001,36.26373626,0,29.67032967
G26016305188002,23.80952381,16.66666667,23.80952381
G26016305189001,32.10784314,19.11764706,26.2254902
G26016305202001,69.10447761,37.1641791,54.02985075
G26016305202002,65.46875,38.125,60
