GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH37E001,AH37E002,AH37E003,AH4HE001,AH4HE002,AH4HE003,AH4HE004,AH4HE005,AH4HE006,AH4HE007,AH4HE008,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH37M001,AH37M002,AH37M003,AH4HM001,AH4HM002,AH4HM003,AH4HM004,AH4HM005,AH4HM006,AH4HM007,AH4HM008,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
G2601630552000,2013-2017,,,Michigan,26,Wayne County,163,,,552000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5520, Wayne County, Michigan",862,569,293,169,10,0,39,0,0,0,120,293,5,27,23,12,44,51,0,20,78,33,"Census Tract 5520, Wayne County, Michigan",65,68,67,60,15,10,34,10,10,10,46,67,7,18,21,17,37,36,10,20,34,26
G2601630552100,2013-2017,,,Michigan,26,Wayne County,163,,,552100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5521, Wayne County, Michigan",1331,598,733,369,83,0,70,0,0,0,216,733,48,28,70,40,70,68,19,54,246,90,"Census Tract 5521, Wayne County, Michigan",99,101,109,97,45,10,47,10,10,10,81,109,42,25,44,41,41,47,25,35,80,53
G2601630552200,2013-2017,,,Michigan,26,Wayne County,163,,,552200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5522, Wayne County, Michigan",1115,719,396,261,0,16,34,17,0,0,194,396,26,26,41,51,31,0,13,30,142,36,"Census Tract 5522, Wayne County, Michigan",81,88,82,89,10,26,36,27,10,10,82,82,29,20,35,40,34,10,11,31,57,32
G2601630552300,2013-2017,,,Michigan,26,Wayne County,163,,,552300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5523, Wayne County, Michigan",951,327,624,350,21,0,64,0,0,0,265,624,7,30,66,59,12,22,91,63,121,153,"Census Tract 5523, Wayne County, Michigan",105,82,104,109,31,10,51,10,10,10,90,104,11,32,44,42,19,26,59,49,62,78
G2601630552400,2013-2017,,,Michigan,26,Wayne County,163,,,552400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5524, Wayne County, Michigan",677,377,300,139,10,0,19,9,0,0,101,300,0,12,47,9,37,35,36,0,72,52,"Census Tract 5524, Wayne County, Michigan",61,61,51,49,15,10,22,13,10,10,43,51,10,12,26,10,26,29,25,10,34,29
G2601630552800,2013-2017,,,Michigan,26,Wayne County,163,,,552800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5528, Wayne County, Michigan",1222,507,715,350,107,0,44,41,0,0,158,715,53,40,38,54,25,95,30,32,175,173,"Census Tract 5528, Wayne County, Michigan",99,112,125,113,64,14,47,44,14,14,77,125,37,41,37,45,29,64,33,33,72,75
G2601630553000,2013-2017,,,Michigan,26,Wayne County,163,,,553000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5530, Wayne County, Michigan",563,114,449,310,16,0,0,0,0,0,294,449,0,24,8,17,28,39,31,52,196,54,"Census Tract 5530, Wayne County, Michigan",96,48,94,80,26,10,10,10,10,10,79,94,10,26,12,18,29,24,29,56,64,52
G2601630553100,2013-2017,,,Michigan,26,Wayne County,163,,,553100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5531, Wayne County, Michigan",554,316,238,321,0,0,0,0,0,0,321,238,6,19,0,6,5,46,0,5,118,33,"Census Tract 5531, Wayne County, Michigan",86,72,69,68,10,10,10,10,10,10,68,69,15,29,10,9,8,48,10,9,53,32
G2601630553200,2013-2017,,,Michigan,26,Wayne County,163,,,553200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5532, Wayne County, Michigan",318,158,160,339,0,9,0,0,0,0,330,160,0,0,7,0,23,0,16,28,38,48,"Census Tract 5532, Wayne County, Michigan",54,42,46,46,10,14,10,10,10,10,44,46,10,10,10,10,23,10,16,26,26,27
G2601630553300,2013-2017,,,Michigan,26,Wayne County,163,,,553300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5533, Wayne County, Michigan",451,83,368,285,0,0,0,0,0,0,285,368,40,0,27,37,70,17,56,31,37,53,"Census Tract 5533, Wayne County, Michigan",77,36,73,67,10,10,10,10,10,10,67,73,35,10,33,42,52,23,42,31,29,43
G2601630553400,2013-2017,,,Michigan,26,Wayne County,163,,,553400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5534, Wayne County, Michigan",1232,131,1101,292,17,0,0,0,0,0,275,1101,14,11,63,87,158,66,78,130,389,105,"Census Tract 5534, Wayne County, Michigan",140,86,139,107,29,10,10,10,10,10,106,139,22,17,53,62,82,47,63,84,125,77
G2601630553600,2013-2017,,,Michigan,26,Wayne County,163,,,553600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5536, Wayne County, Michigan",859,521,338,337,0,0,0,11,0,0,326,338,12,0,8,49,87,24,10,30,118,0,"Census Tract 5536, Wayne County, Michigan",104,96,89,69,10,10,10,18,10,10,72,89,13,10,11,38,52,22,15,31,69,10
G2601630553800,2013-2017,,,Michigan,26,Wayne County,163,,,553800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5538, Wayne County, Michigan",546,314,232,501,0,0,10,0,0,0,491,232,0,0,10,9,0,39,0,59,81,34,"Census Tract 5538, Wayne County, Michigan",87,62,78,70,10,10,17,10,10,10,71,78,10,10,14,14,10,44,10,52,49,29
G2601630554100,2013-2017,,,Michigan,26,Wayne County,163,,,554100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5541, Wayne County, Michigan",1507,969,538,120,0,0,26,27,0,0,67,538,0,57,31,100,51,18,41,23,197,20,"Census Tract 5541, Wayne County, Michigan",84,100,121,74,10,10,39,42,10,10,50,121,10,74,37,67,45,21,49,26,93,20
G2601630554200,2013-2017,,,Michigan,26,Wayne County,163,,,554200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5542, Wayne County, Michigan",1235,840,395,135,31,0,36,0,0,0,68,395,11,0,35,30,63,22,18,11,152,53,"Census Tract 5542, Wayne County, Michigan",97,116,113,100,49,10,53,10,10,10,69,113,17,10,31,27,71,26,28,17,87,36
G2601630554300,2013-2017,,,Michigan,26,Wayne County,163,,,554300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5543, Wayne County, Michigan",1988,1497,491,141,71,0,11,26,0,0,33,491,0,21,94,50,73,27,16,10,191,9,"Census Tract 5543, Wayne County, Michigan",113,173,176,101,83,10,17,42,10,10,54,176,10,34,78,58,84,38,26,16,136,17
G2601630554400,2013-2017,,,Michigan,26,Wayne County,163,,,554400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5544, Wayne County, Michigan",1155,679,476,140,0,23,8,54,8,0,47,476,0,0,63,114,24,29,7,70,138,31,"Census Tract 5544, Wayne County, Michigan",83,115,106,79,10,36,13,59,13,10,54,106,10,10,67,84,23,22,12,54,62,29
G2601630554500,2013-2017,,,Michigan,26,Wayne County,163,,,554500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5545, Wayne County, Michigan",1087,686,401,159,0,0,48,0,26,0,85,401,0,56,38,43,53,0,59,38,68,46,"Census Tract 5545, Wayne County, Michigan",87,109,103,85,10,10,55,10,41,10,69,103,10,65,28,39,35,10,37,44,56,62
G2601630554600,2013-2017,,,Michigan,26,Wayne County,163,,,554600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5546, Wayne County, Michigan",1425,1148,277,96,30,0,0,0,10,0,56,277,0,43,0,57,14,0,0,35,28,100,"Census Tract 5546, Wayne County, Michigan",81,107,96,85,45,10,10,10,14,10,72,96,10,38,10,50,20,10,10,40,26,75
G2601630554700,2013-2017,,,Michigan,26,Wayne County,163,,,554700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5547, Wayne County, Michigan",1127,949,178,56,0,0,33,0,12,0,11,178,0,52,15,31,23,37,0,0,10,10,"Census Tract 5547, Wayne County, Michigan",64,98,79,53,10,10,51,10,18,10,17,79,10,59,17,35,26,35,10,10,14,16
G2601630554800,2013-2017,,,Michigan,26,Wayne County,163,,,554800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5548, Wayne County, Michigan",1348,1048,300,103,0,0,20,0,0,0,83,300,8,10,25,58,29,27,30,32,62,19,"Census Tract 5548, Wayne County, Michigan",82,108,78,68,10,10,32,10,10,10,65,78,13,15,24,46,30,36,27,33,65,24
G2601630554900,2013-2017,,,Michigan,26,Wayne County,163,,,554900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5549, Wayne County, Michigan",1228,934,294,64,18,0,46,0,0,0,0,294,16,36,38,0,25,36,0,8,112,23,"Census Tract 5549, Wayne County, Michigan",88,136,125,61,27,10,52,10,10,10,10,125,26,47,37,10,31,51,10,14,89,34
G2601630555100,2013-2017,,,Michigan,26,Wayne County,163,,,555100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5551, Wayne County, Michigan",1722,1244,478,126,27,25,0,0,12,0,62,478,10,26,115,68,73,6,11,27,129,13,"Census Tract 5551, Wayne County, Michigan",95,148,126,87,42,41,10,10,18,10,63,126,16,41,75,60,63,9,18,44,75,20
G2601630555300,2013-2017,,,Michigan,26,Wayne County,163,,,555300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5553, Wayne County, Michigan",1122,807,315,134,0,0,76,20,0,0,38,315,0,0,39,54,20,86,9,24,46,37,"Census Tract 5553, Wayne County, Michigan",81,119,92,77,10,10,71,33,10,10,45,92,10,10,32,45,32,70,16,28,34,34
G2601630555400,2013-2017,,,Michigan,26,Wayne County,163,,,555400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5554, Wayne County, Michigan",984,819,165,40,32,0,0,0,0,0,8,165,0,16,31,9,0,0,0,16,93,0,"Census Tract 5554, Wayne County, Michigan",51,91,73,53,50,10,10,10,10,10,13,73,10,22,46,13,10,10,10,18,64,10
G2601630555500,2013-2017,,,Michigan,26,Wayne County,163,,,555500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5555, Wayne County, Michigan",1156,855,301,91,0,0,0,22,0,0,69,301,8,31,0,71,64,0,0,0,103,24,"Census Tract 5555, Wayne County, Michigan",77,110,79,66,10,10,10,35,10,10,60,79,12,31,10,48,58,10,10,10,58,27
G2601630555600,2013-2017,,,Michigan,26,Wayne County,163,,,555600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5556, Wayne County, Michigan",1043,847,196,38,29,9,0,0,0,0,0,196,0,4,56,42,29,0,40,0,19,6,"Census Tract 5556, Wayne County, Michigan",65,78,69,47,45,14,10,10,10,10,10,69,10,10,57,37,30,10,58,10,21,8
G2601630556100,2013-2017,,,Michigan,26,Wayne County,163,,,556100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5561, Wayne County, Michigan",1302,954,348,62,32,0,30,0,0,0,0,348,29,9,56,15,39,0,53,64,75,8,"Census Tract 5561, Wayne County, Michigan",61,92,92,64,50,10,46,10,10,10,10,92,44,14,34,24,46,10,50,57,59,13
G2601630556200,2013-2017,,,Michigan,26,Wayne County,163,,,556200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5562, Wayne County, Michigan",1385,698,687,47,0,0,11,0,0,0,36,687,13,90,70,119,174,60,51,48,37,25,"Census Tract 5562, Wayne County, Michigan",56,89,80,44,10,10,19,10,10,10,39,80,20,63,40,66,64,40,55,58,30,28
G2601630556300,2013-2017,,,Michigan,26,Wayne County,163,,,556300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5563, Wayne County, Michigan",1349,1012,337,135,0,0,53,26,0,0,56,337,9,72,46,46,52,37,9,17,49,0,"Census Tract 5563, Wayne County, Michigan",89,110,89,83,10,10,56,43,10,10,61,89,15,44,36,37,56,33,14,19,37,10
G2601630556400,2013-2017,,,Michigan,26,Wayne County,163,,,556400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5564, Wayne County, Michigan",1666,1438,228,60,0,0,0,0,32,0,28,228,0,62,65,15,28,26,0,0,32,0,"Census Tract 5564, Wayne County, Michigan",66,71,67,66,10,10,10,10,50,10,45,67,10,58,51,17,18,21,10,10,28,10
G2601630556500,2013-2017,,,Michigan,26,Wayne County,163,,,556500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5565, Wayne County, Michigan",1136,926,210,79,0,0,0,29,26,0,24,210,0,0,28,27,65,26,9,0,30,25,"Census Tract 5565, Wayne County, Michigan",72,81,62,71,10,10,10,46,40,10,39,62,10,10,24,25,48,24,14,10,27,28
G2601630556600,2013-2017,,,Michigan,26,Wayne County,163,,,556600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5566, Wayne County, Michigan",1279,1271,8,8,0,0,8,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,"Census Tract 5566, Wayne County, Michigan",22,25,12,12,10,10,12,10,10,10,10,12,10,12,10,10,10,10,10,10,10,10
G2601630556700,2013-2017,,,Michigan,26,Wayne County,163,,,556700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5567, Wayne County, Michigan",993,842,151,31,3,0,0,10,0,0,18,151,12,39,16,13,0,3,6,0,51,11,"Census Tract 5567, Wayne County, Michigan",35,57,56,33,14,10,10,16,10,10,28,56,18,46,21,16,10,7,10,10,39,18
G2601630556800,2013-2017,,,Michigan,26,Wayne County,163,,,556800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5568, Wayne County, Michigan",667,649,18,0,0,0,0,0,0,0,0,18,0,13,0,0,5,0,0,0,0,0,"Census Tract 5568, Wayne County, Michigan",35,36,16,10,10,10,10,10,10,10,10,16,10,15,10,10,7,10,10,10,10,10
G2601630556900,2013-2017,,,Michigan,26,Wayne County,163,,,556900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5569, Wayne County, Michigan",1419,1260,159,10,0,0,0,0,0,0,10,159,7,7,41,17,0,0,0,11,31,45,"Census Tract 5569, Wayne County, Michigan",40,63,53,15,10,10,10,10,10,10,15,53,12,12,30,19,10,10,10,17,35,35
G2601630557000,2013-2017,,,Michigan,26,Wayne County,163,,,557000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5570, Wayne County, Michigan",1160,771,389,103,0,0,0,0,0,0,103,389,17,42,50,109,0,54,19,18,71,9,"Census Tract 5570, Wayne County, Michigan",62,86,88,64,10,10,10,10,10,10,64,88,19,40,36,59,10,46,21,22,51,13
G2601630557100,2013-2017,,,Michigan,26,Wayne County,163,,,557100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5571, Wayne County, Michigan",986,811,175,49,0,0,24,0,0,0,25,175,10,9,19,78,26,0,0,16,10,7,"Census Tract 5571, Wayne County, Michigan",54,72,68,53,10,10,39,10,10,10,38,68,17,14,21,52,41,10,10,17,16,12
G2601630557200,2013-2017,,,Michigan,26,Wayne County,163,,,557200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5572, Wayne County, Michigan",784,670,114,49,0,0,13,0,0,0,36,114,12,5,14,0,10,6,0,12,55,0,"Census Tract 5572, Wayne County, Michigan",44,45,30,42,10,10,18,10,10,10,38,30,13,9,14,10,12,9,10,12,26,10
G2601630557300,2013-2017,,,Michigan,26,Wayne County,163,,,557300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5573, Wayne County, Michigan",839,789,50,15,0,0,0,0,0,0,15,50,4,0,10,11,0,8,0,0,13,4,"Census Tract 5573, Wayne County, Michigan",29,33,22,18,10,10,10,10,10,10,18,22,6,10,10,9,10,10,10,10,17,6
G2601630557400,2013-2017,,,Michigan,26,Wayne County,163,,,557400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5574, Wayne County, Michigan",1211,1187,24,66,24,0,0,0,19,0,23,24,0,24,0,0,0,0,0,0,0,0,"Census Tract 5574, Wayne County, Michigan",43,55,37,46,34,10,10,10,19,10,30,37,10,37,10,10,10,10,10,10,10,10
G2601630557500,2013-2017,,,Michigan,26,Wayne County,163,,,557500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5575, Wayne County, Michigan",1405,1333,72,47,0,0,0,0,0,0,47,72,0,10,0,20,0,0,0,12,0,30,"Census Tract 5575, Wayne County, Michigan",57,81,52,58,10,10,10,10,10,10,58,52,10,15,10,27,10,10,10,18,10,36
G2601630557600,2013-2017,,,Michigan,26,Wayne County,163,,,557600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5576, Wayne County, Michigan",1127,1061,66,49,0,0,28,0,0,0,21,66,0,0,0,0,6,8,0,0,52,0,"Census Tract 5576, Wayne County, Michigan",55,52,42,37,10,10,41,10,10,10,33,42,10,10,10,10,11,13,10,10,42,10
G2601630557700,2013-2017,,,Michigan,26,Wayne County,163,,,557700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5577, Wayne County, Michigan",1719,1602,117,87,0,0,34,0,0,0,53,117,0,0,0,19,0,17,0,36,45,0,"Census Tract 5577, Wayne County, Michigan",75,86,45,70,10,10,42,10,10,10,59,45,10,10,10,22,10,18,10,45,45,10
G2601630557900,2013-2017,,,Michigan,26,Wayne County,163,,,557900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5579, Wayne County, Michigan",1812,1588,224,30,0,0,0,0,0,0,30,224,0,0,19,7,82,5,21,27,26,37,"Census Tract 5579, Wayne County, Michigan",46,62,54,39,10,10,10,10,10,10,39,54,10,10,20,12,48,9,22,21,28,24
G2601630558000,2013-2017,,,Michigan,26,Wayne County,163,,,558000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5580, Wayne County, Michigan",1685,1460,225,9,0,0,0,0,0,0,9,225,0,61,15,51,10,33,39,6,10,0,"Census Tract 5580, Wayne County, Michigan",30,74,68,14,10,10,10,10,10,10,14,68,10,51,17,50,15,39,45,9,17,10
G2601630558100,2013-2017,,,Michigan,26,Wayne County,163,,,558100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5581, Wayne County, Michigan",1316,1120,196,84,35,0,0,0,0,0,49,196,0,21,46,0,6,0,0,51,72,0,"Census Tract 5581, Wayne County, Michigan",68,78,56,69,53,10,10,10,10,10,46,56,10,32,44,10,11,10,10,48,38,10
G2601630558200,2013-2017,,,Michigan,26,Wayne County,163,,,558200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5582, Wayne County, Michigan",1690,1367,323,59,0,0,0,0,9,0,50,323,34,9,55,15,32,56,0,38,64,20,"Census Tract 5582, Wayne County, Michigan",65,108,99,56,10,10,10,10,13,10,55,99,50,14,49,17,24,38,10,41,41,17
G2601630558300,2013-2017,,,Michigan,26,Wayne County,163,,,558300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5583, Wayne County, Michigan",788,554,234,54,0,0,0,0,0,0,54,234,0,24,59,19,14,16,11,31,60,0,"Census Tract 5583, Wayne County, Michigan",43,59,51,41,10,10,10,10,10,10,41,51,10,18,34,17,13,18,11,29,36,10
G2601630558400,2013-2017,,,Michigan,26,Wayne County,163,,,558400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5584, Wayne County, Michigan",1596,1271,325,16,0,0,16,0,0,0,0,325,32,51,40,51,41,31,9,44,26,0,"Census Tract 5584, Wayne County, Michigan",53,92,80,22,10,10,22,10,10,10,10,80,37,42,37,33,39,37,13,29,25,10
G2601630558500,2013-2017,,,Michigan,26,Wayne County,163,,,558500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5585, Wayne County, Michigan",1561,1372,189,57,0,0,0,0,0,0,57,189,25,0,56,0,46,14,6,21,15,6,"Census Tract 5585, Wayne County, Michigan",59,84,63,51,10,10,10,10,10,10,51,63,37,10,37,10,42,17,10,19,19,10
G2601630558600,2013-2017,,,Michigan,26,Wayne County,163,,,558600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5586, Wayne County, Michigan",732,621,111,40,0,0,0,23,13,0,4,111,5,21,27,5,0,3,14,13,20,3,"Census Tract 5586, Wayne County, Michigan",46,47,46,36,10,10,10,30,23,10,7,46,7,18,28,6,10,7,22,20,21,5
G2601630558700,2013-2017,,,Michigan,26,Wayne County,163,,,558700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5587, Wayne County, Michigan",1017,927,90,43,0,0,0,0,0,0,43,90,0,10,10,10,0,35,9,0,10,6,"Census Tract 5587, Wayne County, Michigan",63,80,41,51,10,10,10,10,10,10,51,41,10,16,15,14,10,30,13,10,16,9
G2601630558800,2013-2017,,,Michigan,26,Wayne County,163,,,558800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5588, Wayne County, Michigan",1082,973,109,44,0,0,0,0,0,0,44,109,0,21,19,20,7,6,0,2,8,26,"Census Tract 5588, Wayne County, Michigan",48,69,59,46,10,10,10,10,10,10,46,59,10,33,23,22,11,10,10,6,12,39
G2601630558900,2013-2017,,,Michigan,26,Wayne County,163,,,558900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5589, Wayne County, Michigan",692,621,71,81,0,0,25,0,18,0,38,71,0,14,19,21,5,4,0,4,4,0,"Census Tract 5589, Wayne County, Michigan",41,56,36,40,10,10,26,10,20,10,27,36,10,15,22,23,7,6,10,6,6,10
G2601630559000,2013-2017,,,Michigan,26,Wayne County,163,,,559000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5590, Wayne County, Michigan",978,840,138,99,0,0,33,0,0,0,66,138,0,19,20,50,0,17,8,6,4,14,"Census Tract 5590, Wayne County, Michigan",65,82,61,66,10,10,49,10,10,10,54,61,10,22,19,44,10,22,13,10,7,21
G2601630559100,2013-2017,,,Michigan,26,Wayne County,163,,,559100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5591, Wayne County, Michigan",988,811,177,57,0,0,0,0,8,0,49,177,0,0,69,0,9,35,0,16,33,15,"Census Tract 5591, Wayne County, Michigan",56,94,79,54,10,10,10,10,13,10,52,79,10,10,50,10,13,43,10,19,42,16
G2601630559200,2013-2017,,,Michigan,26,Wayne County,163,,,559200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5592, Wayne County, Michigan",822,730,92,24,0,0,0,0,0,0,24,92,0,10,22,25,0,0,11,0,3,21,"Census Tract 5592, Wayne County, Michigan",35,54,41,29,10,10,10,10,10,10,29,41,10,12,15,20,10,10,12,10,5,27
G2601630560100,2013-2017,,,Michigan,26,Wayne County,163,,,560100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5601, Wayne County, Michigan",1147,758,389,85,19,24,17,0,0,0,25,389,33,110,40,44,18,20,8,28,75,13,"Census Tract 5601, Wayne County, Michigan",61,80,84,59,30,31,26,10,10,10,38,84,27,67,29,38,17,19,13,23,50,14
G2601630560200,2013-2017,,,Michigan,26,Wayne County,163,,,560200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5602, Wayne County, Michigan",2449,1272,1177,223,127,0,0,0,96,0,0,1177,59,214,120,177,124,102,79,135,151,16,"Census Tract 5602, Wayne County, Michigan",129,129,148,142,104,14,14,14,106,14,14,148,43,89,54,88,67,84,68,81,71,25
G2601630560300,2013-2017,,,Michigan,26,Wayne County,163,,,560300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5603, Wayne County, Michigan",1376,992,384,91,25,0,0,0,0,0,66,384,16,36,20,68,61,35,21,14,50,63,"Census Tract 5603, Wayne County, Michigan",70,85,86,67,36,10,10,10,10,10,57,86,18,33,18,40,43,28,21,17,41,62
G2601630560400,2013-2017,,,Michigan,26,Wayne County,163,,,560400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5604, Wayne County, Michigan",2546,2027,519,153,52,0,0,0,0,0,101,519,16,43,97,69,54,70,0,26,130,14,"Census Tract 5604, Wayne County, Michigan",128,118,119,128,87,14,14,14,14,14,94,119,26,40,57,49,49,85,14,32,99,23
G2601630561200,2013-2017,,,Michigan,26,Wayne County,163,,,561200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5612, Wayne County, Michigan",2073,1962,111,83,0,0,22,0,0,0,61,111,16,46,35,7,0,0,0,0,7,0,"Census Tract 5612, Wayne County, Michigan",83,109,64,67,14,14,34,14,14,14,62,64,25,45,38,15,14,14,14,14,11,14
G2601630561300,2013-2017,,,Michigan,26,Wayne County,163,,,561300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5613, Wayne County, Michigan",2633,2561,72,73,0,0,20,0,0,0,53,72,0,23,0,14,0,0,0,18,17,0,"Census Tract 5613, Wayne County, Michigan",96,108,56,78,14,14,31,14,14,14,77,56,14,33,14,21,14,14,14,27,29,14
G2601630561600,2013-2017,,,Michigan,26,Wayne County,163,,,561600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5616, Wayne County, Michigan",1835,1175,660,23,0,12,0,0,11,0,0,660,39,126,45,119,25,27,12,45,181,41,"Census Tract 5616, Wayne County, Michigan",61,82,76,25,10,18,10,10,18,10,10,76,30,66,38,64,27,28,19,45,64,40
G2601630561700,2013-2017,,,Michigan,26,Wayne County,163,,,561700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5617, Wayne County, Michigan",833,752,81,60,0,0,13,0,15,0,32,81,0,0,33,10,5,13,5,0,6,9,"Census Tract 5617, Wayne County, Michigan",50,60,39,43,10,10,20,10,25,10,33,39,10,10,27,13,8,17,9,10,10,11
G2601630561900,2013-2017,,,Michigan,26,Wayne County,163,,,561900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5619, Wayne County, Michigan",2318,2251,67,55,0,0,0,0,0,0,55,67,0,0,0,11,35,0,21,0,0,0,"Census Tract 5619, Wayne County, Michigan",91,108,63,69,14,14,14,14,14,14,69,63,14,14,14,19,52,14,28,14,14,14
G2601630562300,2013-2017,,,Michigan,26,Wayne County,163,,,562300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5623, Wayne County, Michigan",847,667,180,20,0,0,0,0,20,0,0,180,9,36,14,21,32,5,0,10,32,21,"Census Tract 5623, Wayne County, Michigan",37,42,32,24,10,10,10,10,24,10,10,32,9,30,12,14,30,7,10,11,20,22
G2601630562400,2013-2017,,,Michigan,26,Wayne County,163,,,562400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5624, Wayne County, Michigan",1950,1778,172,71,0,0,0,0,71,0,0,172,0,0,10,0,0,11,0,85,39,27,"Census Tract 5624, Wayne County, Michigan",101,115,89,103,14,14,14,14,103,14,14,89,14,14,17,14,14,18,14,74,34,43
G2601630562500,2013-2017,,,Michigan,26,Wayne County,163,,,562500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5625, Wayne County, Michigan",961,363,598,90,24,24,0,24,0,0,18,598,23,119,96,65,88,26,15,72,94,0,"Census Tract 5625, Wayne County, Michigan",75,69,94,68,38,38,10,39,10,10,28,94,23,54,50,46,45,23,18,59,50,10
