GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,AH37E001,AH37E002,AH37E003,AH4HE001,AH4HE002,AH4HE003,AH4HE004,AH4HE005,AH4HE006,AH4HE007,AH4HE008,AH5XE001,AH5XE002,AH5XE003,AH5XE004,AH5XE005,AH5XE006,AH5XE007,AH5XE008,AH5XE009,AH5XE010,AH5XE011,NAME_M,AH37M001,AH37M002,AH37M003,AH4HM001,AH4HM002,AH4HM003,AH4HM004,AH4HM005,AH4HM006,AH4HM007,AH4HM008,AH5XM001,AH5XM002,AH5XM003,AH5XM004,AH5XM005,AH5XM006,AH5XM007,AH5XM008,AH5XM009,AH5XM010,AH5XM011
G2601630540400,2013-2017,,,Michigan,26,Wayne County,163,,,540400,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5404, Wayne County, Michigan",1103,476,627,248,79,0,57,51,0,0,61,627,0,36,32,55,21,110,84,21,248,20,"Census Tract 5404, Wayne County, Michigan",94,96,116,96,61,10,52,47,10,10,54,116,10,51,36,39,35,63,64,28,91,19
G2601630540500,2013-2017,,,Michigan,26,Wayne County,163,,,540500,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5405, Wayne County, Michigan",1214,695,519,316,0,65,49,78,0,0,124,519,0,29,46,22,26,37,26,32,251,50,"Census Tract 5405, Wayne County, Michigan",131,155,162,118,10,68,52,71,10,10,80,162,10,29,36,24,41,50,40,51,106,50
G2601630540600,2013-2017,,,Michigan,26,Wayne County,163,,,540600,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5406, Wayne County, Michigan",1208,734,474,340,26,0,24,21,0,0,269,474,10,0,62,19,52,68,31,56,64,112,"Census Tract 5406, Wayne County, Michigan",125,126,139,114,41,10,39,34,10,10,109,139,16,10,70,20,51,58,37,65,56,80
G2601630540700,2013-2017,,,Michigan,26,Wayne County,163,,,540700,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5407, Wayne County, Michigan",1197,574,623,261,19,20,0,21,0,0,201,623,0,89,14,27,89,36,0,17,304,47,"Census Tract 5407, Wayne County, Michigan",105,102,136,87,30,32,10,34,10,10,81,136,10,69,22,33,72,45,10,28,115,39
G2601630540800,2013-2017,,,Michigan,26,Wayne County,163,,,540800,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5408, Wayne County, Michigan",907,524,383,146,45,0,21,10,0,0,70,383,0,0,31,62,5,8,0,38,175,64,"Census Tract 5408, Wayne County, Michigan",79,82,102,75,36,10,33,15,10,10,60,102,10,10,48,63,9,13,10,39,93,48
G2601630540900,2013-2017,,,Michigan,26,Wayne County,163,,,540900,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5409, Wayne County, Michigan",1374,868,506,148,0,22,26,36,0,0,64,506,0,55,0,67,83,38,89,19,155,0,"Census Tract 5409, Wayne County, Michigan",104,139,125,81,10,34,41,39,10,10,53,125,10,56,10,59,74,46,68,23,78,10
G2601630541000,2013-2017,,,Michigan,26,Wayne County,163,,,541000,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5410, Wayne County, Michigan",1674,750,924,262,47,0,12,0,0,0,203,924,31,48,139,65,71,144,35,54,261,76,"Census Tract 5410, Wayne County, Michigan",127,144,152,93,56,10,20,10,10,10,86,152,40,50,83,46,62,98,40,47,121,58
G2601630541100,2013-2017,,,Michigan,26,Wayne County,163,,,541100,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5411, Wayne County, Michigan",955,614,341,604,66,0,24,22,0,0,492,341,0,37,24,0,8,12,32,41,118,69,"Census Tract 5411, Wayne County, Michigan",144,141,126,136,63,10,29,35,10,10,136,126,10,61,39,10,14,21,45,40,93,53
G2601630541200,2013-2017,,,Michigan,26,Wayne County,163,,,541200,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5412, Wayne County, Michigan",912,316,596,388,67,20,0,0,0,0,301,596,40,52,68,32,52,0,47,56,212,37,"Census Tract 5412, Wayne County, Michigan",93,77,101,91,38,23,10,10,10,10,88,101,36,34,49,26,46,10,37,33,71,37
G2601630541300,2013-2017,,,Michigan,26,Wayne County,163,,,541300,,,,,,,,,,,,,,,,,,,,,,,,,,"Census Tract 5413, Wayne County, Michigan",979,481,498,236,68,19,8,0,0,0,141,498,0,22,29,85,28,21,37,13,196,67,"Census Tract 5413, Wayne County, Michigan",71,80,80,69,37,21,13,10,10,10,59,80,10,28,30,50,23,21,29,13,58,48
